日期,收盘,开盘,高,低,交易量,涨跌幅
2007年1月28日,144.81,142.19,144.95,141.74,347.47M,1.86%
2007年2月4日,143.94,144.7,145.36,143.39,308.27M,-0.60%
2007年2月11日,145.73,143.94,145.95,143.19,274.41M,1.24%
2007年2月18日,145.3,145.56,146.42,144.06,271.99M,-0.30%
2007年2月25日,138.67,145.83,145.95,138.05,898.09M,-4.56%
2007年3月4日,140.78,137.93,141.42,137.33,629.03M,1.52%
2007年3月11日,138.53,140.42,141.34,136.75,757.35M,-1.60%
2007年3月18日,143.39,139.26,143.81,138.55,526.45M,3.51%
2007年3月25日,142,143.5,143.65,140.56,635.09M,-0.97%
2007年4月1日,144.24,142.16,144.44,140.89,272.86M,1.58%
2007年4月8日,145.32,144.65,145.32,143.34,416.00M,0.75%
2007年4月15日,148.62,145.83,148.62,145.82,507.51M,2.27%
2007年4月22日,149.53,148.37,149.8,147.32,498.19M,0.61%
2007年4月29日,150.92,149.64,151.12,147.67,506.94M,0.93%
2007年5月6日,150.86,150.88,152.82,149.27,515.30M,-0.04%
2007年5月13日,152.62,150.86,152.62,149.79,604.45M,1.17%
2007年5月20日,151.69,152.58,153.5,150.74,662.04M,-0.61%
2007年5月27日,154.08,151.94,154.4,151.34,438.85M,1.58%
2007年6月3日,151.04,153.54,154.39,149.06,779.73M,-1.97%
2007年6月10日,153.07,150.93,153.66,149.55,832.79M,1.34%
2007年6月17日,150.55,153.38,153.58,149.85,787.45M,-1.65%
2007年6月24日,150.43,150.24,151.65,148.06,1.00B,-0.08%
2007年7月1日,152.98,150.87,153.17,150.77,327.79M,1.70%
2007年7月8日,154.85,153.16,155.46,150.52,674.00M,1.22%
2007年7月15日,153.5,154.99,156,152.29,853.23M,-0.87%
2007年7月22日,145.11,154.18,154.72,145.05,1.53B,-5.47%
